date,geography,geography code,Economic activity status: Total: All usual residents aged 16 years and over,Economic activity status: Economically active (excluding full-time students),Economic activity status: Economically active (excluding full-time students):In employment,Economic activity status: Economically active (excluding full-time students):In employment:Employee,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economic activity status: Economically active (excluding full-time students): Unemployed,Economic activity status: Economically active and a full-time student,Economic activity status: Economically active and a full-time student:In employment,Economic activity status: Economically active and a full-time student:In employment:Employee,Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time,Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economic activity status: Economically active and a full-time student: Unemployed,Economic activity status: Economically inactive,Economic activity status: Economically inactive: Retired,Economic activity status: Economically inactive: Student,Economic activity status: Economically inactive: Looking after home or family,Economic activity status: Economically inactive: Long-term sick or disabled,Economic activity status: Economically inactive: Other
2021,East Riding of Yorkshire,E06000011,288142,158311,152548,126999,35445,91554,5212,1138,4074,20337,8600,11737,5763,4487,3572,3421,2837,584,9,4,5,142,103,39,915,125344,89466,9201,9848,9779,7050
2021,North East Lincolnshire,E06000012,127521,70673,67112,58959,17264,41695,1487,335,1152,6666,2835,3831,3561,2368,1738,1671,1345,326,5,0,5,62,42,20,630,54480,31788,4588,6597,7468,4039
2021,North Lincolnshire,E06000013,139465,77987,74356,64702,16945,47757,1873,496,1377,7781,3336,4445,3631,2459,1865,1786,1362,424,12,9,3,67,52,15,594,59019,37661,4697,6365,6541,3755
2021,York,E06000014,172082,93395,90307,76803,21649,55154,2120,477,1643,11384,5256,6128,3088,7837,5890,5451,4894,557,26,17,9,413,378,35,1947,70850,38636,19183,4626,4712,3693
2021,Derby,E06000015,209193,117828,111304,97154,25492,71662,2285,568,1717,11865,5035,6830,6524,6519,4898,4608,3698,910,30,23,7,260,216,44,1621,84846,42246,12921,11841,10617,7221
2021,Leicester,E06000016,291012,156924,146536,128376,38736,89640,3640,1187,2453,14520,6667,7853,10388,12648,8396,7887,6341,1546,75,55,20,434,358,76,4252,121440,39005,31850,22739,14583,13263
2021,Rutland,E06000017,34297,18985,18418,14702,3765,10937,639,139,500,3077,1521,1556,567,440,365,337,283,54,0,0,0,28,17,11,75,14872,9733,1639,1112,718,1670
2021,Nottingham,E06000018,264321,128319,119330,103244,28237,75007,2526,724,1802,13560,5901,7659,8989,14616,9536,8700,7333,1367,71,45,26,765,667,98,5080,121386,35362,47342,14182,14440,10060
2021,"Herefordshire, County of",E06000019,157132,89974,86773,67495,19669,47826,3057,630,2427,16221,6963,9258,3201,2189,1737,1606,1268,338,15,5,10,116,87,29,452,64969,44635,5017,5836,5614,3867
2021,Telford and Wrekin,E06000020,148670,87567,83442,72723,17201,55522,1692,327,1365,9027,3560,5467,4125,2813,2053,1941,1484,457,17,11,6,95,46,49,760,58290,31490,7137,7460,7886,4317
2021,Stoke-on-Trent,E06000021,205899,114783,108821,94864,23906,70958,2364,664,1700,11593,4556,7037,5962,5189,3759,3527,2911,616,35,24,11,197,148,49,1430,85927,42209,11268,11930,13167,7353
2021,Bath and North East Somerset,E06000022,161616,88709,85581,69044,19971,49073,2442,521,1921,14095,6728,7367,3128,5743,4229,3834,3295,539,22,17,5,373,350,23,1514,67164,35641,18304,5248,4583,3388
2021,"Bristol, City of",E06000023,389708,237400,227604,191546,46923,144623,4666,1130,3536,31392,13878,17514,9796,15252,10906,9726,8044,1682,83,58,25,1097,973,124,4346,137056,56502,38164,15014,16350,11026
2021,North Somerset,E06000024,178567,103411,100107,83047,23804,59243,2733,610,2123,14327,6379,7948,3304,3228,2595,2468,2078,390,13,8,5,114,86,28,633,71928,49984,6164,5779,6461,3540
2021,South Gloucestershire,E06000025,237366,147707,143392,122906,32432,90474,3085,709,2376,17401,7069,10332,4315,5759,4220,4029,3430,599,20,12,8,171,132,39,1539,83900,53153,11240,7439,6581,5487
2021,Plymouth,E06000026,218624,121278,115976,100575,27935,72640,2259,506,1753,13142,5386,7756,5302,6866,5042,4700,4007,693,26,19,7,316,273,43,1824,90480,47650,15627,9228,11973,6002
2021,Torbay,E06000027,117030,60685,57665,46248,15403,30845,1624,440,1184,9793,4278,5515,3020,1694,1270,1211,1009,202,11,4,7,48,30,18,424,54651,35505,3848,5037,6901,3360
2021,Swindon,E06000030,187151,120635,115523,100493,23046,77447,2194,440,1754,12836,4930,7906,5112,3267,2343,2238,1760,478,20,6,14,85,49,36,924,63249,35844,6664,8678,6792,5271
2021,Peterborough,E06000031,167574,103980,98644,84909,21000,63909,2439,641,1798,11296,4829,6467,5336,3122,2325,2166,1600,566,35,17,18,124,85,39,797,60472,28974,7401,10040,7453,6604
2021,Luton,E06000032,172695,100863,93542,76783,20943,55840,2771,832,1939,13988,5593,8395,7321,6983,5176,4683,3360,1323,72,40,32,421,249,172,1807,64849,24233,11636,14512,6720,7748
2021,Southend-on-Sea,E06000033,146410,86264,81513,67001,18242,48759,2083,526,1557,12429,5580,6849,4751,2372,1746,1615,1312,303,20,12,8,111,81,30,626,57774,32958,5769,7715,6375,4957
2021,Thurrock,E06000034,136364,87752,83356,69303,16656,52647,2217,447,1770,11836,4095,7741,4396,3361,2592,2276,1601,675,46,26,20,270,156,114,769,45251,22845,6137,7452,4430,4387
2021,Medway,E06000035,222755,136138,129425,107617,26783,80834,3033,684,2349,18775,6907,11868,6713,4433,3179,2909,2313,596,30,17,13,240,166,74,1254,82184,43599,10373,11940,9062,7210
2021,Bracknell Forest,E06000036,99934,67711,65109,55208,11711,43497,1258,291,967,8643,3577,5066,2602,1689,1288,1204,939,265,13,7,6,71,47,24,401,30534,17976,3870,3843,2293,2552
2021,West Berkshire,E06000037,130737,83451,80680,67061,15566,51495,1980,380,1600,11639,5046,6593,2771,2059,1628,1530,1284,246,5,5,0,93,70,23,431,45227,29405,4780,5173,3029,2840
2021,Reading,E06000038,141357,89882,85319,73782,15524,58258,1606,376,1230,9931,4031,5900,4563,4811,3545,3304,2565,739,25,15,10,216,152,64,1266,46664,19262,11606,6925,4249,4622
2021,Slough,E06000039,118933,76660,71482,58785,14384,44401,2149,647,1502,10548,4312,6236,5178,3059,2217,2018,1525,493,27,14,13,172,90,82,842,39214,13515,7337,9436,3586,5340
2021,Windsor and Maidenhead,E06000040,123676,78369,74982,60416,12747,47669,2250,530,1720,12316,5744,6572,3387,1727,1320,1203,966,237,12,5,7,105,80,25,407,43580,25997,5929,5943,2440,3271
2021,Wokingham,E06000041,140821,90628,87529,73249,15711,57538,2080,448,1632,12200,5376,6824,3099,2615,1938,1825,1578,247,14,9,5,99,74,25,677,47578,29831,6752,5844,2437,2714
2021,Milton Keynes,E06000042,224835,145896,138853,119085,25787,93298,2944,702,2242,16824,6900,9924,7043,5788,4526,4219,3008,1211,36,13,23,271,176,95,1262,73151,37649,10317,10845,7558,6782
2021,Brighton and Hove,E06000043,235365,139720,132371,101688,27236,74452,3994,982,3012,26689,12985,13704,7349,10405,6918,6220,5451,769,42,31,11,656,567,89,3487,85240,35982,23218,8464,10400,7176
2021,Portsmouth,E06000044,170818,97606,92586,77947,21047,56900,2035,440,1595,12604,4562,8042,5020,7770,5199,4819,4188,631,42,28,14,338,268,70,2571,65442,29280,15884,7818,7099,5361
2021,Southampton,E06000045,204369,118233,112189,95146,24396,70750,2324,586,1738,14719,5532,9187,6044,8351,6039,5520,4558,962,49,31,18,470,362,108,2312,77785,31732,21690,9563,8567,6233
2021,Isle of Wight,E06000046,119584,59979,56824,44503,15326,29177,1715,433,1282,10606,5187,5419,3155,1420,1085,1031,847,184,3,0,3,51,39,12,335,58185,39723,3704,4789,6113,3856
2021,County Durham,E06000047,433958,227221,216177,187328,47753,139575,5251,1088,4163,23598,9604,13994,11044,8263,6038,5409,4387,1022,57,24,33,572,512,60,2225,198474,111234,28153,18945,26631,13511
2021,Cheshire East,E06000049,329474,195245,188417,156192,39033,117159,6212,1306,4906,26013,11845,14168,6828,5044,4070,3867,3221,646,13,5,8,190,149,41,974,129185,87692,11483,11513,10915,7582
2021,Cheshire West and Chester,E06000050,295358,171131,164459,139671,35969,103702,4292,945,3347,20496,9157,11339,6672,6097,4629,4426,3804,622,20,11,9,183,151,32,1468,118130,74806,13057,11215,11888,7164
2021,Shropshire,E06000051,272245,155011,149268,118558,33894,84664,5286,1055,4231,25424,10437,14987,5743,3899,3154,3003,2402,601,13,5,8,138,97,41,745,113335,77553,9687,9814,9574,6707
2021,Cornwall,E06000052,477425,258345,248064,189408,61604,127804,8879,2065,6814,49777,21864,27913,10281,8277,6183,5704,4892,812,33,19,14,446,368,78,2094,210803,137684,20078,19543,21347,12151
2021,Isles of Scilly,E06000053,1729,1116,1102,740,208,532,85,14,71,277,113,164,14,12,11,11,10,1,0,0,0,0,0,0,1,601,462,20,59,23,37
2021,Wiltshire,E06000054,419114,255780,247436,204823,52660,152163,6268,1336,4932,36345,16828,19517,8344,6295,4909,4686,3805,881,29,19,10,194,156,38,1386,157039,104683,14018,15830,12366,10142
2021,Bedford,E06000055,148118,92580,88412,74069,17331,56738,2254,523,1731,12089,5092,6997,4168,3231,2453,2300,1778,522,17,12,5,136,87,49,778,52307,29260,6327,6928,4999,4793
2021,Central Bedfordshire,E06000056,236760,152985,147841,122809,28314,94495,3566,756,2810,21466,8798,12668,5144,4307,3236,3026,2410,616,21,12,9,189,135,54,1071,79468,50740,8367,9096,6167,5098
2021,Northumberland,E06000057,268850,145197,138170,115138,33183,81955,4607,1002,3605,18425,8103,10322,7027,3405,2610,2498,2044,454,7,4,3,105,78,27,795,120248,81177,8490,10331,12235,8015
2021,"Bournemouth, Christchurch and Poole",E06000058,334908,187945,179439,147502,41378,106124,4729,1151,3578,27208,12395,14813,8506,9270,6591,6121,5165,956,51,36,15,419,350,69,2679,137693,82995,20405,12560,13135,8598
2021,Dorset,E06000059,321900,170185,164286,129504,40305,89199,5269,1236,4033,29513,13962,15551,5899,4496,3491,3345,2750,595,12,8,4,134,114,20,1005,147219,107446,9712,11610,10596,7855
2021,Buckinghamshire,E06000060,443394,278024,267479,213868,50554,163314,8376,1871,6505,45235,21011,24224,10545,7463,5756,5324,4353,971,37,17,20,395,288,107,1707,157907,95934,19441,21233,9709,11590
2021,North Northamptonshire,E06000061,289187,181232,174688,149250,34457,114793,3938,790,3148,21500,8265,13235,6544,5429,4169,3969,3048,921,24,6,18,176,104,72,1260,102526,62160,9894,11782,11119,7571
2021,West Northamptonshire,E06000062,343503,217286,209093,173987,39591,134396,5822,1102,4720,29284,11250,18034,8193,9095,6903,6494,4875,1619,84,39,45,325,197,128,2192,117122,68969,14698,13293,10425,9737
2021,Bolton,E08000001,232293,129353,121631,103060,28697,74363,3426,984,2442,15145,6675,8470,7722,5189,3808,3598,2963,635,33,24,9,177,132,45,1381,97751,48899,12682,14930,12638,8602
2021,Bury,E08000002,154871,90612,86358,73055,18903,54152,2358,611,1747,10945,4915,6030,4254,2849,2123,2016,1625,391,12,7,5,95,70,25,726,61410,34232,7503,7328,7258,5089
2021,Manchester,E08000003,437958,237667,219969,187849,48366,139483,5233,1672,3561,26887,12839,14048,17698,21621,14315,12896,10333,2563,128,98,30,1291,1117,174,7306,178670,46637,57182,28875,25709,20267
2021,Oldham,E08000004,187035,102047,95477,80795,22987,57808,2647,812,1835,12035,5349,6686,6570,3919,2729,2530,2039,491,32,23,9,167,125,42,1190,81069,36927,11645,13831,10553,8113
2021,Rochdale,E08000005,174947,97674,91986,78165,20200,57965,2437,676,1761,11384,4811,6573,5688,3395,2473,2337,1802,535,13,5,8,123,84,39,922,73878,35211,9484,11489,10344,7350
2021,Salford,E08000006,216921,130228,122358,106679,25000,81679,2518,643,1875,13161,5459,7702,7870,7552,5247,4824,3849,975,47,33,14,376,310,66,2305,79141,33800,14446,10104,12153,8638
2021,Stockport,E08000007,238927,142922,137018,115549,29159,86390,3753,848,2905,17716,7914,9802,5904,3622,2788,2627,2145,482,17,11,6,144,122,22,834,92383,57654,9376,9137,9920,6296
2021,Tameside,E08000008,185136,108864,103326,89457,21968,67489,2065,501,1564,11804,4857,6947,5538,3215,2329,2235,1822,413,15,10,5,79,56,23,886,73057,39541,7732,9189,10420,6175
2021,Trafford,E08000009,186150,113807,109051,91640,22339,69301,3245,735,2510,14166,6517,7649,4756,3310,2506,2352,1944,408,17,8,9,137,113,24,804,69033,39957,9188,8034,6920,4934
2021,Wigan,E08000010,268694,158010,150892,130540,31437,99103,3125,706,2419,17227,6731,10496,7118,4886,3722,3562,2939,623,22,11,11,138,101,37,1164,105798,62537,9589,10928,14514,8230
2021,Knowsley,E08000011,124297,71707,67855,59552,15823,43729,1322,298,1024,6981,2681,4300,3852,2174,1635,1551,1224,327,8,5,3,76,46,30,539,50416,24035,5156,6341,10124,4760
2021,Liverpool,E08000012,403028,208057,194163,167998,44789,123209,4313,1172,3141,21852,9397,12455,13894,16899,11587,10841,8958,1883,82,64,18,664,547,117,5312,178072,67225,44261,19628,30507,16451
2021,St. Helens,E08000013,150572,84819,80743,70983,17293,53690,1668,366,1302,8092,3171,4921,4076,2511,1881,1804,1457,347,9,9,0,68,50,18,630,63242,36966,5331,6656,9825,4464
2021,Sefton,E08000014,232389,127536,121393,103322,29085,74237,3045,731,2314,15026,6537,8489,6143,4122,3203,3083,2613,470,18,6,12,102,74,28,919,100731,61897,9031,9092,13774,6937
2021,Wirral,E08000015,262111,142940,136398,117511,32496,85015,3210,836,2374,15677,7097,8580,6542,4083,3105,2952,2412,540,13,7,6,140,101,39,978,115088,68048,11159,11061,17066,7754
2021,Barnsley,E08000016,199792,114512,109456,93837,24904,68933,2460,530,1930,13159,4835,8324,5056,3008,2224,2125,1664,461,14,5,9,85,54,31,784,82272,47359,6597,9776,12531,6009
2021,Doncaster,E08000017,250926,142604,135102,116171,31146,85025,3374,833,2541,15557,5873,9684,7502,3660,2757,2612,1948,664,26,12,14,119,70,49,903,104662,58348,8836,13282,13896,10300
2021,Rotherham,E08000018,215571,121196,115257,98793,27279,71514,2782,655,2127,13682,5113,8569,5939,3458,2544,2432,1913,519,18,6,12,94,65,29,914,90917,51512,8141,11483,12594,7187
2021,Sheffield,E08000019,456247,242684,229974,196367,56503,139864,5442,1339,4103,28165,12349,15816,12710,17373,12032,11243,9433,1810,72,57,15,717,615,102,5341,196190,91847,45118,22547,21855,14823
2021,Newcastle upon Tyne,E08000021,248447,123293,115770,100458,27380,73078,2965,790,2175,12347,5671,6676,7523,13599,9305,8694,7433,1261,53,45,8,558,495,63,4294,111555,42993,34156,12432,12946,9028
2021,North Tyneside,E08000022,171513,100034,95234,83999,22042,61957,1980,480,1500,9255,3953,5302,4800,2834,2032,1940,1587,353,6,3,3,86,64,22,802,68645,43003,6123,6635,8217,4667
2021,South Tyneside,E08000023,121291,65785,61131,54233,14890,39343,1258,321,937,5640,2240,3400,4654,2009,1377,1291,1015,276,7,3,4,79,66,13,632,53497,29986,5055,6476,7827,4153
2021,Sunderland,E08000024,226074,121329,114043,101224,27250,73974,2341,577,1764,10478,4324,6154,7286,4619,3111,2981,2456,525,18,9,9,112,86,26,1508,100126,55754,10422,11384,14920,7646
2021,Birmingham,E08000025,889622,463374,421469,356901,101471,255430,11448,3665,7783,53120,25167,27953,41905,31350,20948,19087,14419,4668,238,166,72,1623,1295,328,10402,394898,138510,89175,73132,48332,45749
2021,Coventry,E08000026,276871,150735,141260,122763,29307,93456,3020,746,2274,15477,6310,9167,9475,12951,8881,8170,6119,2051,112,67,45,599,488,111,4070,113185,47809,29016,14150,12567,9643
2021,Dudley,E08000027,262488,150144,141576,121554,32886,88668,2972,716,2256,17050,6798,10252,8568,4358,3064,2914,2298,616,19,12,7,131,98,33,1294,107986,63665,11042,13644,11861,7774
2021,Sandwell,E08000028,266026,148645,136570,118793,32400,86393,3268,929,2339,14509,5700,8809,12075,6549,4500,4208,3077,1131,47,31,16,245,155,90,2049,110832,46250,16527,20218,15403,12434
2021,Solihull,E08000029,174501,100801,95976,81567,20731,60836,2787,579,2208,11622,4968,6654,4825,2659,1963,1864,1503,361,6,6,0,93,75,18,696,71041,44937,7622,7956,6152,4374
2021,Walsall,E08000030,223097,124002,115347,98711,27489,71222,3085,823,2262,13551,5234,8317,8655,4490,3183,2966,2217,749,31,18,13,186,116,70,1307,94605,46426,12084,15608,12383,8104
2021,Wolverhampton,E08000031,208444,117395,107523,93315,24372,68943,2723,676,2047,11485,4422,7063,9872,5595,3788,3533,2542,991,47,30,17,208,123,85,1807,85454,39930,12134,13784,10986,8620
2021,Bradford,E08000032,421574,229810,214534,180088,54192,125896,6309,1986,4323,28137,13346,14791,15276,9469,6602,6251,5017,1234,32,23,9,319,243,76,2867,182295,79509,27827,34139,22038,18782
2021,Calderdale,E08000033,166634,96063,91348,76339,21098,55241,2575,658,1917,12434,5722,6712,4715,2692,2034,1929,1601,328,13,9,4,92,69,23,658,67879,39136,7171,8074,8179,5319
2021,Kirklees,E08000034,346271,194117,184331,155429,43657,111772,5281,1484,3797,23621,10619,13002,9786,8073,5753,5455,4644,811,39,25,14,259,204,55,2320,144081,75708,20161,20051,16284,11877
2021,Leeds,E08000035,658470,377687,357949,308120,75829,232291,8690,2105,6585,41139,17680,23459,19738,23432,16114,14856,12220,2636,105,71,34,1153,996,157,7318,257351,124465,56606,27929,27288,21063
2021,Wakefield,E08000036,287538,168764,161410,141530,35506,106024,3418,746,2672,16462,6336,10126,7354,4388,3231,3105,2494,611,20,10,10,106,79,27,1157,114386,66992,9408,13012,15585,9389
2021,Gateshead,E08000037,161749,90504,85417,75707,20118,55589,1718,405,1313,7992,3326,4666,5087,3011,2102,1971,1581,390,12,7,5,119,98,21,909,68234,39133,7125,7097,9512,5367
2021,City of London,E09000001,8004,5555,5273,4205,440,3765,178,28,150,890,366,524,282,123,78,58,39,19,0,0,0,20,12,8,45,2326,993,720,192,124,297
2021,Barking and Dagenham,E09000002,161746,97834,90193,70684,20789,49895,3209,895,2314,16300,6242,10058,7641,5833,4398,3710,2561,1149,108,53,55,580,347,233,1435,58079,16966,12684,13313,7312,7804
2021,Barnet,E09000003,309355,192234,180563,134283,35308,98975,7789,1972,5817,38491,18463,20028,11671,7527,5613,4642,3317,1325,112,63,49,859,558,301,1914,109594,46200,21618,18968,10042,12766
2021,Bexley,E09000004,195827,121176,114897,95509,23041,72468,2977,668,2309,16411,6530,9881,6279,4170,3086,2700,2093,607,45,26,19,341,223,118,1084,70481,39111,9998,9472,5943,5957
2021,Brent,E09000005,275142,167044,154555,117912,30428,87484,5924,1659,4265,30719,12958,17761,12489,8938,6443,5254,3751,1503,130,77,53,1059,648,411,2495,99160,33300,22026,19444,10308,14082
