date,geography,geography code,Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census,Method of travel to workplace: Work mainly at or from home,"Method of travel to workplace: Underground, metro, light rail, tram",Method of travel to workplace: Train,"Method of travel to workplace: Bus, minibus or coach",Method of travel to workplace: Taxi,"Method of travel to workplace: Motorcycle, scooter or moped",Method of travel to workplace: Driving a car or van,Method of travel to workplace: Passenger in a car or van,Method of travel to workplace: Bicycle,Method of travel to workplace: On foot,Method of travel to workplace: Other method of travel to work
2021,England,E92000001,26405214,8321252,504716,517902,1129539,192884,124207,11751945,1017402,554215,2016981,274171
2021,England and Wales,K04000001,27773666,8671722,505311,529461,1160990,200490,128849,12524571,1083447,569295,2113657,285873
2021,Wales,W92000004,1368445,350470,595,11559,31448,7606,4642,772621,66045,15081,96676,11702
