"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","West Berkshire","E06000037",161448,158585,2863
"2021","Windsor and Maidenhead","E06000040",153496,149418,4078
"2021","Wokingham","E06000041",177503,174677,2826
"2021","Buckinghamshire","E06000060",553078,545796,7282
"2021","East Sussex","E10000011",545848,536841,9007
"2021","Hampshire","E10000014",1400899,1380089,20810
"2021","Kent","E10000016",1576069,1549488,26581
"2021","Oxfordshire","E10000025",725291,694120,31171
"2021","Surrey","E10000030",1203108,1175180,27928
"2021","West Sussex","E10000032",882674,867901,14773
"2021","Bath and North East Somerset","E06000022",193409,185438,7971
"2021","Bristol, City of","E06000023",472465,457848,14617
"2021","Cornwall","E06000052",570305,562448,7857
"2021","Isles of Scilly","E06000053",2053,2028,25
"2021","North Somerset","E06000024",216726,214297,2429
"2021","Plymouth","E06000026",264695,257494,7201
"2021","Bournemouth, Christchurch and Poole","E06000058",400196,389667,10529
"2021","South Gloucestershire","E06000025",290424,285030,5394
"2021","Swindon","E06000030",233407,232231,1176
"2021","Torbay","E06000027",139324,137286,2038
"2021","Wiltshire","E06000054",510333,498138,12195
"2021","Devon","E10000008",811640,791999,19641
"2021","Dorset","E06000059",379579,371738,7841
"2021","Gloucestershire","E10000013",645076,634918,10158
"2021","Somerset","E10000027",571548,562036,9512
"2021","Isle of Anglesey","W06000001",68878,68184,694
"2021","Gwynedd","W06000002",117393,113682,3711
"2021","Conwy","W06000003",114741,112917,1824
"2021","Denbighshire","W06000004",95817,94182,1635
"2021","Flintshire","W06000005",154962,153947,1015
"2021","Wrexham","W06000006",135117,132182,2935
"2021","Powys","W06000023",133169,131737,1432
"2021","Ceredigion","W06000008",71475,67845,3630
"2021","Pembrokeshire","W06000009",123360,121781,1579
"2021","Carmarthenshire","W06000010",187897,185595,2302
"2021","Swansea","W06000011",238490,233322,5168
"2021","Neath Port Talbot","W06000012",142289,139114,3175
"2021","Bridgend","W06000013",145488,142860,2628
"2021","Vale of Glamorgan","W06000014",131939,130281,1658
"2021","Cardiff","W06000015",362308,346893,15415
"2021","Rhondda Cynon Taff","W06000016",237651,235586,2065
"2021","Merthyr Tydfil","W06000024",58836,58386,450
"2021","Caerphilly","W06000018",175952,175055,897
"2021","Blaenau Gwent","W06000019",66904,66552,352
"2021","Torfaen","W06000020",92276,91725,551
"2021","Monmouthshire","W06000021",92957,91515,1442
"2021","Newport","W06000022",159592,158205,1387
