"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
"2021","England and Wales","K04000001",59597542,58555851,1041691
"2021","England","E92000001",56490048,55504302,985746
"2021","Wales","W92000004",3107494,3051549,55945
