"date","geography","geography code","Household composition: Total; measures: Value","Household composition: One person household; measures: Value","Household composition: One person household: Aged 66 years and over; measures: Value","Household composition: One person household: Other; measures: Value","Household composition: Single family household; measures: Value","Household composition: Single family household: All aged 66 years and over; measures: Value","Household composition: Single family household: Married or civil partnership couple; measures: Value","Household composition: Single family household: Married or civil partnership couple: No children; measures: Value","Household composition: Single family household: Married or civil partnership couple: Dependent children; measures: Value","Household composition: Single family household: Married or civil partnership couple: All children non-dependent; measures: Value","Household composition: Single family household: Cohabiting couple family; measures: Value","Household composition: Single family household: Cohabiting couple family: No children; measures: Value","Household composition: Single family household: Cohabiting couple family: With dependent children; measures: Value","Household composition: Single family household: Cohabiting couple family: All children non-dependent; measures: Value","Household composition: Single family household: Lone parent family; measures: Value","Household composition: Single family household: Lone parent family: With dependent children; measures: Value","Household composition: Single family household: Lone parent family: All children non-dependent; measures: Value","Household composition: Single family household: Other single family household; measures: Value","Household composition: Single family household: Other single family household: Other family composition; measures: Value","Household composition: Other household types; measures: Value","Household composition: Other household types: With dependent children; measures: Value","Household composition: Other household types: Other, including all full-time students and all aged 66 years and over; measures: Value"
"2021","Tewkesbury","E07000083",40934,11554,5745,5809,27781,5007,13937,5238,6480,2219,4998,2824,1931,243,3717,2315,1402,122,122,1599,652,947
"2021","Mendip","E07000187",50294,15152,7610,7542,32702,6222,15621,6156,6680,2785,6069,3219,2476,374,4600,2801,1799,190,190,2440,891,1549
"2021","Sedgemoor","E07000188",53906,15620,7822,7798,35276,6858,16542,6777,6691,3074,6575,3359,2788,428,5030,3198,1832,271,271,3010,1174,1836
"2021","South Somerset","E07000189",75933,22859,11869,10990,49632,10492,23619,9921,9548,4150,8734,4577,3632,525,6490,4084,2406,297,297,3442,1280,2162
"2021","Somerset West and Taunton","E07000246",69988,22397,11499,10898,44312,9202,20871,8617,8762,3492,7819,4379,2975,465,6065,3752,2313,355,355,3279,1141,2138
"2021","Isle of Anglesey","W06000001",30823,10189,5223,4966,19438,3901,8642,3604,3175,1863,3296,1460,1627,209,3466,2087,1379,133,133,1196,512,684
"2021","Gwynedd","W06000002",51107,17664,8472,9192,30661,5354,13494,5437,5162,2895,6192,2922,2900,370,5348,3202,2146,273,273,2782,846,1936
"2021","Conwy","W06000003",52237,17909,9318,8591,32089,6674,14067,5945,5231,2891,5433,2715,2348,370,5698,3504,2194,217,217,2239,927,1312
"2021","Denbighshire","W06000004",42389,14107,6982,7125,26437,5027,11500,4627,4486,2387,4586,2136,2104,346,5124,3235,1889,200,200,1845,840,1005
"2021","Flintshire","W06000005",66911,19471,9639,9832,44660,7314,21092,7771,8850,4471,8158,4126,3494,538,7718,4706,3012,378,378,2780,1256,1524
"2021","Wrexham","W06000006",57914,17662,8042,9620,37799,5723,17048,6354,7039,3655,7265,3343,3431,491,7405,4887,2518,358,358,2453,1075,1378
"2021","Ceredigion","W06000008",30895,10202,5102,5100,18649,3956,8475,3784,3034,1657,3381,1864,1346,171,2674,1525,1149,163,163,2044,519,1525
"2021","Pembrokeshire","W06000009",55488,18507,9289,9218,34588,6977,15683,6703,5839,3141,5720,2815,2536,369,5966,3855,2111,242,242,2393,1022,1371
"2021","Carmarthenshire","W06000010",81763,25350,12569,12781,52512,9525,24720,9851,9692,5177,8874,4218,4088,568,8986,5374,3612,407,407,3901,1684,2217
"2021","Swansea","W06000011",104961,36154,15259,20895,62927,10017,28088,9823,12309,5956,10904,5656,4540,708,13217,8371,4846,701,701,5880,1731,4149
"2021","Neath Port Talbot","W06000012",62374,20368,9034,11334,39549,6145,17666,6516,6960,4190,6731,3084,3116,531,8651,5429,3222,356,356,2457,1151,1306
"2021","Bridgend","W06000013",62360,18664,8535,10129,41059,6504,18986,7043,7800,4143,7487,3586,3378,523,7754,4766,2988,328,328,2637,1206,1431
"2021","Vale of Glamorgan","W06000014",57450,17841,8491,9350,37148,6151,17926,6460,8012,3454,6247,3129,2708,410,6582,4270,2312,242,242,2461,1090,1371
"2021","Cardiff","W06000015",147334,47463,16526,30937,86631,9890,39597,12263,20101,7233,17536,10999,5615,922,18168,12157,6011,1440,1440,13240,3363,9877
"2021","Rhondda Cynon Taff","W06000016",103340,32170,14049,18121,66700,9551,29263,10733,11799,6731,13273,5869,6349,1055,14028,9103,4925,585,585,4470,1971,2499
"2021","Caerphilly","W06000018",76258,22966,10510,12456,50282,7422,22569,8302,9070,5197,9592,4213,4602,777,10333,6513,3820,366,366,3010,1479,1531
"2021","Blaenau Gwent","W06000019",30341,10175,4361,5814,19113,2612,8082,3130,2888,2064,3868,1642,1875,351,4372,2715,1657,179,179,1053,518,535
"2021","Torfaen","W06000020",40241,12316,5694,6622,26294,4003,11734,4384,4683,2667,5057,2311,2366,380,5307,3456,1851,193,193,1631,750,881
"2021","Monmouthshire","W06000021",40922,12287,6534,5753,26996,5583,13363,5309,5379,2675,4126,2235,1654,237,3771,2281,1490,153,153,1639,689,950
"2021","Newport","W06000022",66054,19997,8495,11502,42263,5325,19807,6611,9265,3931,8198,4147,3433,618,8455,5447,3008,478,478,3794,1930,1864
"2021","Powys","W06000023",60182,19841,10468,9373,37836,8223,17750,7725,6516,3509,6644,3373,2857,414,4962,2843,2119,257,257,2505,958,1547
"2021","Merthyr Tydfil","W06000024",25781,8258,3464,4794,16477,2138,7150,2635,2730,1785,3082,1257,1572,253,3851,2548,1303,256,256,1046,560,486
