"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Oldham","E08000004",187035,70948,83696,83452,83053,399,244,109,135,4917,4898,19,15632,15614,18,11842,11834,8
"2021","Rochdale","E08000005",174949,67394,75520,75290,74914,376,230,92,138,4888,4858,30,16232,16194,38,10915,10905,10
"2021","Salford","E08000006",216923,109675,74068,73660,72820,840,408,139,269,4982,4920,62,17342,17273,69,10856,10837,19
"2021","Stockport","E08000007",238927,86063,110836,110449,109756,693,387,125,262,4749,4731,18,20992,20933,59,16287,16265,22
"2021","Tameside","E08000008",185135,74127,75624,75377,74763,614,247,78,169,4897,4819,78,18029,17973,56,12458,12438,20
"2021","Trafford","E08000009",186149,65917,89755,89438,88872,566,317,98,219,3619,3593,26,15375,15322,53,11483,11463,20
"2021","Wigan","E08000010",268693,100070,117719,117333,116708,625,386,167,219,6153,6106,47,26348,26294,54,18403,18383,20
"2021","Knowsley","E08000011",124299,56650,46204,46044,45757,287,160,58,102,3161,3149,12,10132,10113,19,8152,8142,10
"2021","Liverpool","E08000012",403027,215209,126987,126358,125326,1032,629,226,403,8957,8894,63,29854,29787,67,22020,21990,30
"2021","St. Helens","E08000013",150575,56456,65186,64964,64513,451,222,106,116,3651,3634,17,14357,14322,35,10925,10917,8
"2021","Sefton","E08000014",232390,86727,99885,99541,99033,508,344,96,248,4923,4907,16,22505,22453,52,18350,18334,16
"2021","Wirral","E08000015",262113,97809,111552,111111,110492,619,441,128,313,6358,6331,27,26822,26777,45,19572,19559,13
"2021","Kingston upon Hull, City of","E06000010",213876,98052,76226,75715,75120,595,511,215,296,5848,5811,37,21505,21464,41,12245,12228,17
"2021","East Riding of Yorkshire","E06000011",288138,83043,147515,147016,146371,645,499,182,317,5931,5896,35,28878,28829,49,22771,22751,20
"2021","North East Lincolnshire","E06000012",127521,46129,54606,54384,54098,286,222,86,136,3326,3296,30,14339,14315,24,9121,9114,7
"2021","North Lincolnshire","E06000013",139464,45316,65967,65723,65364,359,244,99,145,3120,3096,24,14811,14795,16,10250,10242,8
"2021","York","E06000014",172084,73584,71101,70717,70181,536,384,126,258,2858,2827,31,14455,14418,37,10086,10076,10
"2021","Craven","E07000163",48282,13466,25156,25024,24887,137,132,47,85,995,993,2,4985,4973,12,3680,3679,1
"2021","Hambleton","E07000164",76984,20682,41597,41478,41321,157,119,32,87,1521,1512,9,7316,7307,9,5868,5865,3
"2021","Harrogate","E07000165",135307,40365,69391,69115,68796,319,276,74,202,2653,2645,8,13519,13502,17,9379,9365,14
"2021","Richmondshire","E07000166",41743,12225,21795,21697,21604,93,98,26,72,1014,1003,11,3927,3923,4,2782,2774,8
"2021","Ryedale","E07000167",46327,13075,24210,24131,24011,120,79,28,51,944,943,1,4548,4540,8,3550,3542,8
"2021","Scarborough","E07000168",92109,29127,42493,42282,42046,236,211,54,157,2259,2247,12,10665,10645,20,7565,7555,10
"2021","Selby","E07000169",75432,22845,39060,38944,38775,169,116,34,82,1597,1591,6,7275,7260,15,4655,4655,0
"2021","Barnsley","E08000016",199789,73099,87177,86856,86342,514,321,126,195,4799,4770,29,21183,21131,52,13531,13521,10
"2021","Doncaster","E08000017",250926,91135,109345,108878,108233,645,467,220,247,6405,6355,50,26714,26659,55,17327,17302,25
"2021","Rotherham","E08000018",215574,77645,97554,97229,96681,548,325,124,201,4789,4759,30,20615,20574,41,14971,14959,12
"2021","Sheffield","E08000019",456251,201755,182986,182067,180945,1122,919,338,581,9211,9146,65,35767,35684,83,26532,26501,31
"2021","Bradford","E08000032",421574,155653,193199,192532,191513,1019,667,268,399,11361,11305,56,36394,36334,60,24967,24938,29
"2021","Calderdale","E08000033",166634,60324,73651,73213,72647,566,438,102,336,4254,4216,38,17611,17525,86,10794,10777,17
"2021","Kirklees","E08000034",346274,125290,159426,158886,158078,808,540,189,351,8027,7955,72,32022,31948,74,21509,21482,27
"2021","Leeds","E08000035",658468,293570,260733,259556,257735,1821,1177,419,758,14474,14380,94,53595,53480,115,36096,36050,46
"2021","Wakefield","E08000036",287537,103484,127965,127435,126637,798,530,182,348,6966,6917,49,30105,30031,74,19017,18995,22
"2021","Derby","E06000015",209194,83649,89443,89017,88487,530,426,182,244,4771,4718,53,18630,18561,69,12701,12691,10
"2021","Leicester","E06000016",291012,125393,126202,125597,124906,691,605,382,223,5759,5731,28,18946,18906,40,14712,14696,16
"2021","Rutland","E06000017",34300,10140,17891,17826,17734,92,65,22,43,746,744,2,3157,3143,14,2366,2361,5
"2021","Nottingham","E06000018",264321,145860,81438,80887,80229,658,551,196,355,5651,5614,37,19615,19558,57,11757,11737,20
"2021","North Northamptonshire","E06000061",289186,100639,133554,133102,132402,700,452,152,300,7747,7697,50,29664,29591,73,17582,17569,13
"2021","West Northamptonshire","E06000062",343506,122183,161727,161244,160337,907,483,176,307,8107,8068,39,32483,32434,49,19006,18989,17
"2021","Amber Valley","E07000032",105063,34226,50083,49885,49588,297,198,74,124,2371,2355,16,10992,10972,20,7391,7386,5
"2021","Bolsover","E07000033",66277,23019,30033,29900,29707,193,133,46,87,1585,1575,10,6973,6955,18,4667,4665,2
"2021","Chesterfield","E07000034",86002,30720,37422,37281,37070,211,141,40,101,2017,2004,13,9653,9636,17,6190,6183,7
"2021","Derbyshire Dales","E07000035",61060,16781,32422,32243,32117,126,179,50,129,1206,1197,9,5901,5893,8,4750,4741,9
"2021","Erewash","E07000036",93525,33152,42075,41928,41697,231,147,44,103,2097,2085,12,9833,9816,17,6368,6364,4
"2021","High Peak","E07000037",75660,25386,35435,35266,35064,202,169,50,119,1728,1709,19,8005,7977,28,5106,5099,7
"2021","North East Derbyshire","E07000038",85273,26008,42136,41993,41802,191,143,49,94,1832,1821,11,8767,8746,21,6530,6525,5
"2021","South Derbyshire","E07000039",86956,28546,42774,42648,42393,255,126,36,90,2022,2007,15,8377,8356,21,5237,5232,5
"2021","Blaby","E07000129",83666,27296,41743,41581,41373,208,162,52,110,1680,1672,8,7440,7421,19,5507,5498,9
"2021","Charnwood","E07000130",153104,59880,68613,68333,68004,329,280,80,200,3005,2991,14,12650,12628,22,8956,8949,7
"2021","Harborough","E07000131",80428,23779,42622,42465,42271,194,157,56,101,1555,1544,11,7334,7323,11,5138,5131,7
"2021","Hinckley and Bosworth","E07000132",93918,29533,46636,46496,46279,217,140,40,100,2040,2024,16,9514,9480,34,6195,6190,5
"2021","Melton","E07000133",42944,12767,21975,21906,21818,88,69,34,35,927,920,7,4285,4280,5,2990,2989,1
"2021","North West Leicestershire","E07000134",86168,28861,41450,41304,41066,238,146,60,86,1926,1912,14,8598,8582,16,5333,5328,5
"2021","Oadby and Wigston","E07000135",47210,15680,23404,23356,23267,89,48,24,24,935,933,2,3656,3652,4,3535,3535,0
